state,count,date,manner_of_death,armed,age,gender,race,city,signs_of_mental_illness,threat_level,flee,body_camera,percentage
AK,4,2015,shot,gun,33.0,M,N,Fairbanks,False,attack,Car,False,0.4036326942482341
AL,17,2015,shot,gun,36.0,M,W,Arab,False,attack,Not fleeing,False,1.7154389505549947
AR,5,2015,shot,gun,31.0,M,W,Cabot,False,attack,Not fleeing,False,0.5045408678102926
AZ,42,2015,shot,gun,28.0,M,W,Phoenix,False,attack,Not fleeing,False,4.238143289606458
CA,189,2015,shot,gun,27.0,M,H,Los Angeles,False,attack,Not fleeing,False,19.071644803229063
CO,29,2015,shot,gun,17.0,M,W,Aurora,False,attack,Not fleeing,False,2.9263370332996974
CT,2,2015,shot,box cutter,31.0,M,W,Bolton,False,attack,Car,False,0.20181634712411706
DC,4,2015,shot,gun,21.0,M,B,Washington,False,attack,Not fleeing,False,0.4036326942482341
DE,3,2015,shot,gun,28.0,M,W,Claymont,False,attack,Not fleeing,False,0.30272452068617556
FL,60,2015,shot,gun,28.0,M,B,Miami,False,attack,Not fleeing,False,6.054490413723512
GA,29,2015,shot,gun,25.0,M,W,Atlanta,False,attack,Not fleeing,False,2.9263370332996974
HI,2,2015,shot,gun,39.0,M,B,Honolulu,False,attack,Not fleeing,False,0.20181634712411706
IA,5,2015,shot,gun,21.0,M,W,Des Moines,False,attack,Car,False,0.5045408678102926
ID,7,2015,shot,gun,31.0,M,W,Boise,False,attack,Not fleeing,False,0.7063572149344097
IL,21,2015,shot,gun,27.0,M,B,Chicago,False,attack,Not fleeing,False,2.119071644803229
IN,19,2015,shot,gun,29.0,M,W,Indianapolis,False,attack,Not fleeing,False,1.917255297679112
KS,9,2015,shot,gun,21.0,M,W,Kansas City,False,attack,Not fleeing,False,0.9081735620585267
KY,16,2015,shot,gun,53.0,M,W,Louisville,False,attack,Not fleeing,False,1.6145307769929365
LA,27,2015,shot,gun,33.0,M,B,New Orleans,False,attack,Not fleeing,False,2.7245206861755804
MA,9,2015,shot,knife,49.0,M,W,Boston,False,attack,Not fleeing,False,0.9081735620585267
MD,15,2015,shot,vehicle,19.0,M,B,Baltimore,False,other,Not fleeing,False,1.513622603430878
ME,2,2015,shot,gun,23.0,M,W,Bangor,False,attack,Foot,False,0.20181634712411706
MI,16,2015,shot,gun,17.0,M,W,Detroit,False,attack,Not fleeing,False,1.6145307769929365
MN,12,2015,shot,gun,24.0,M,W,St. Paul,False,attack,Not fleeing,False,1.2108980827447022
MO,21,2015,shot,gun,23.0,M,W,St. Louis,False,attack,Not fleeing,False,2.119071644803229
MS,8,2015,shot,gun,49.0,M,W,Barton,False,attack,Not fleeing,False,0.8072653884964682
MT,4,2015,shot,gun,22.0,M,W,Billings,False,attack,Not fleeing,False,0.4036326942482341
NC,23,2015,shot,gun,18.0,M,W,Gastonia,False,attack,Not fleeing,False,2.320887991927346
ND,1,2015,shot,gun,31.0,M,N,Wood Lake,False,attack,Not fleeing,False,0.10090817356205853
NE,8,2015,shot,gun,39.0,M,W,Omaha,False,attack,Not fleeing,False,0.8072653884964682
NH,3,2015,shot,knife,23.0,M,W,Bath,True,other,Not fleeing,False,0.30272452068617556
