,state,count,date,manner_of_death,armed,age,gender,race,city,signs_of_mental_illness,threat_level,flee,body_camera,percentage
0,AK,7,2016-01-12,shot,gun,23.0,M,N,Anchorage,False,attack,Not fleeing,False,0.726895119418484
1,AL,25,2016-01-17,shot,gun,38.0,M,W,Phenix City,False,attack,Not fleeing,False,2.596053997923157
2,AR,15,2016-01-27,shot,gun,33.0,M,W,Benton,False,other,Not fleeing,False,1.557632398753894
3,AZ,50,2016-01-18,shot,gun,26.0,M,W,Phoenix,False,attack,Not fleeing,False,5.192107995846314
4,CA,138,2016-08-18,shot,gun,31.0,M,H,Los Angeles,False,other,Not fleeing,False,14.330218068535824
5,CO,31,2016-05-11,shot,gun,24.0,M,W,Denver,False,attack,Not fleeing,False,3.2191069574247146
6,CT,4,2016-02-16,shot,knife,23.0,M,W,Fairfield,False,other,Not fleeing,False,0.4153686396677051
7,DC,5,2016-02-01,shot,toy weapon,21.0,M,B,Washington,False,attack,Not fleeing,False,0.5192107995846313
8,DE,1,2016-06-27,shot,toy weapon,25.0,M,W,Frederica,False,other,Car,False,0.10384215991692627
9,FL,60,2016-05-14,shot,gun,22.0,M,W,Miami,False,attack,Not fleeing,False,6.230529595015576
10,GA,26,2016-01-08,shot,gun,25.0,M,B,Atlanta,False,attack,Not fleeing,False,2.699896157840083
11,HI,6,2016-02-05,shot,gun,25.0,M,O,Hilo,False,attack,Not fleeing,False,0.6230529595015576
12,IA,5,2016-02-13,shot,gun,25.0,M,B,Boone,False,attack,Not fleeing,False,0.5192107995846313
13,ID,6,2016-03-18,shot,gun,34.0,M,W,Boise,False,attack,Car,False,0.6230529595015576
14,IL,26,2016-05-26,shot,gun,21.0,M,B,Chicago,False,attack,Foot,False,2.699896157840083
15,IN,14,2016-03-15,shot,knife,29.0,M,W,Indianapolis,False,attack,Not fleeing,False,1.453790238836968
16,KS,10,2016-02-25,shot,gun,18.0,M,W,Hays,False,attack,Not fleeing,False,1.0384215991692627
17,KY,18,2016-08-08,shot,gun,34.0,M,W,Louisville,False,attack,Not fleeing,False,1.8691588785046727
18,LA,19,2016-01-04,shot,gun,48.0,M,B,Baton Rouge,False,attack,Not fleeing,False,1.9730010384215992
19,MA,12,2016-01-29,shot,gun,33.0,M,B,Boston,False,attack,Not fleeing,False,1.2461059190031152
20,MD,15,2016-03-31,shot,gun,18.0,M,B,Baltimore,False,attack,Not fleeing,False,1.557632398753894
21,ME,2,2016-05-07,shot,gun,29.0,M,O,Naples,False,attack,Not fleeing,False,0.20768431983385255
22,MI,13,2016-07-11,shot,gun,43.0,M,W,Belleville,False,attack,Not fleeing,False,1.3499480789200415
23,MN,14,2016-02-10,shot,gun,33.0,M,W,Burnsville,False,attack,Not fleeing,False,1.453790238836968
24,MO,21,2016-01-17,shot,gun,19.0,M,W,Kansas City,False,attack,Not fleeing,False,2.1806853582554515
25,MS,8,2016-02-20,shot,gun,37.0,M,B,Tupelo,False,attack,Not fleeing,False,0.8307372793354102
26,MT,5,2016-01-02,shot,gun,20.0,M,W,Billings,False,attack,Not fleeing,False,0.5192107995846313
27,NC,33,2016-05-29,shot,gun,18.0,M,W,Charlotte,False,attack,Not fleeing,False,3.4267912772585665
28,ND,1,2016-03-06,shot,unarmed,42.0,M,W,Bismarck,False,undetermined,Foot,False,0.10384215991692627
29,NE,7,2016-01-28,shot,gun,22.0,M,W,Omaha,False,attack,Foot,False,0.726895119418484
